11,7492
51,8142
58,0636
25,6573
54,8412
62,3946
48,7499
46,2048
39,2833
33,1364
64,0200
11,9386
7,5665
25,6760
66,4637
62,4721
37,8618
11,9615
12,5621
14,2105
31,2864
46,7719
65,6210
26,8539
46,2320
31,4907
20,7525
59,0527
28,5188
68,3304
29,0084
24,0324
36,8925
61,0944
32,9623
38,9458
63,2758
34,6895
38,5723
22,7867
59,7079
37,5959
51,7101
56,1721
45,4861
54,9559
28,2029
72,9375
36,4393
28,3081
23,1872
45,6626
27,0790
16,5589
59,0730
51,2281
37,2045
50,4460
23,9190
32,9506
14,6164
52,0463
25,2435
45,5052
64,5186
37,6735
44,5040
35,5182
35,2306
64,3899
12,3912
13,4321
11,7181
65,6837
28,4614
49,9210
42,9786
58,2722
41,9763
53,0824
28,3814
39,3579
41,8823
42,3948
37,9570
52,7627
12,5372
20,7460
57,2755
54,0740
49,0946
47,7285
61,7862
62,7519
49,9158
40,6947
51,3768
23,5933
70,4192
20,2524
32,9544
8,7267
30,0235
32,7829
22,4839
41,8022
22,0245
23,4150
44,1875
59,3186
56,5027
37,0433
22,1406
31,9516
42,2413
53,5016
24,5157
13,2264
64,6828
65,8527
29,0751
30,7569
73,6793
19,6879
37,9387
38,9227
31,8254
37,4309
45,0903
14,1273
53,6844
36,4172
26,5867
30,5245
25,2677
34,0309
11,7880
23,0277
53,3157
59,6723
13,5489
24,8236
40,6503
39,7538
48,9816
40,3118
64,8515
31,3070
24,5161
37,8471
32,1792
34,4130
10,3548
30,0286
44,7131
31,2791
64,6644
39,5481
29,2995
44,5986
37,7553
69,9135
32,2141
43,5348
27,2485
50,3110
66,2054
45,0652
48,7862
61,3256
65,9050
29,0128
30,1776
12,0404
48,5275
51,2008
61,6751
12,3870
65,7977
23,8214
31,1975
61,8161
33,0864
35,3813
36,3312
74,0383
38,7590
37,3805
43,2054
70,1198
11,0058
12,5984
56,1137
59,3106
42,5064
69,9830
23,6837
47,6098
33,3221
17,9700
48,6454
73,7698
37,2286
52,4273
23,8958
50,5898
11,8680
42,4460
24,2909
40,6874
32,9611
44,2504
57,8056
27,3029
16,4239
52,3585
18,2986
33,8674
25,7314
58,6271
47,0290
39,7568
26,9757
53,0125
53,3957
36,8447
46,8483
52,1855
68,0789
42,0417
39,6033
31,5362
32,3707
18,1164
22,3067
26,7233
50,8157
48,4074
48,6042
47,3329
31,5233
29,2926
28,5059
50,6498
39,2001
35,7127
60,9318
67,6099
72,2325
33,8860
13,1091
48,7556
27,1097
62,0433
65,6907
59,0067
41,9350
42,1058
45,7575
31,6163
36,0852
53,8472
33,4836
64,6897
73,3976
48,7080
56,3823
38,6769
64,9751
66,3416
34,8719
44,8627
40,7419
37,0371
25,4586
11,9736
32,1262
61,2289
56,3370
27,3356
26,1815
31,6677
24,1958
28,5738
13,8704
63,1629
46,0662
18,3664
34,5204
35,5580
31,7120
51,5018
37,4309
58,6763
38,2708
29,1165
40,7140
44,0846
27,0360
25,6809
46,3138
34,8265
26,1184
61,5927
71,0777
56,7249
66,3949
69,7775
45,0664
28,4062
23,4783
52,1917
21,1560
40,1832
24,7204
61,9593
63,7755
27,9201
66,4628
47,1299
12,0017
48,3280
12,7549
33,4855
38,4367
31,5660
42,5991
66,9793
47,7765
30,9218
